"review","sentiment"
"I had a bad experience with the inconsistent quality, and it failed to work as described.","negative"
"I expected more from the annoying quality, and it failed to work as described.","negative"
"I disliked the poor experience, and it failed to work as described.","negative"
"I was disappointed by the frustrating experience, and it failed to work as described.","negative"
"I regret buying the unreliable experience, and it failed to work as described.","negative"
"I am unhappy with the weak experience, and it failed to work as described.","negative"
"I would not recommend the cheap experience, and it failed to work as described.","negative"
"This product caused the confusing experience, and it failed to work as described.","negative"
"This item gave the low quality experience, and it failed to work as described.","negative"
"This purchase created the rough experience, and it failed to work as described.","negative"
"I had a bad experience with the inconsistent experience, and it failed to work as described.","negative"
"I expected more from the annoying experience, and it failed to work as described.","negative"
